DEBUG 2024-08-14 08:42:14,791 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\asgiref\current_thread_executor.py first seen with mtime 1723565316.807312
DEBUG 2024-08-14 08:42:14,791 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\selectors.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,791 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1723565335.9208994
DEBUG 2024-08-14 08:42:14,792 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\forms\formsets.py first seen with mtime 1723565336.9502413
DEBUG 2024-08-14 08:42:14,792 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1723565322.7702503
DEBUG 2024-08-14 08:42:14,792 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1723565339.329541
DEBUG 2024-08-14 08:42:14,792 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\checks\security\sessions.py first seen with mtime 1723565335.976214
DEBUG 2024-08-14 08:42:14,793 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\Lib\uu.py first seen with mtime 1680670042.0
DEBUG 2024-08-14 08:42:14,793 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\core\files\storage\mixins.py first seen with mtime 1723565336.0449727
DEBUG 2024-08-14 08:42:14,793 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\utils\dateformat.py first seen with mtime 1723565339.177977
DEBUG 2024-08-14 08:42:14,794 autoreload File C:\Users\AndrewVanLanen\AppData\Local\Programs\Python\Python310\DLLs\_hashlib.pyd first seen with mtime 1680670074.0
DEBUG 2024-08-14 08:42:14,794 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1723565339.418653
DEBUG 2024-08-14 08:42:14,794 autoreload File C:\Users\AndrewVanLanen\Desktop\Holdem\venv\Lib\site-packages\django\views\generic\list.py first seen with mtime 1723565339.4226556
